Campaign Name,Campaign Group Name,Campaign Status,Cost,Clicks,CTR
W للخدمات الإلكترونية والطلابية,,Enabled,SAR41.94,9,9.89%
دبليو للخدمات الإلكترونية,,Enabled,SAR3.47,1,20.00%
