Campaign Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
W للخدمات الإلكترونية والطلابية,SAR41.94,SAR0.00,9,0,9,0
دبليو للخدمات الإلكترونية,SAR3.47,SAR0.00,1,0,1,0
